Timestamp,Avg Download (Mbps),Min Download (Mbps),Max Download (Mbps),Avg Upload (Mbps),Min Upload (Mbps),Max Upload (Mbps)
2023-04-12T01:36:29+0200,24.51,22.10,26.91,3.21,2.90,3.52
2023-04-12T08:53:45+0200,42.62,41.70,43.68,2.11,1.11,3.15
2023-04-12T10:06:55+0200,21.48,14.73,28.24,1.80,1.69,1.91
2023-04-12T10:33:03+0200,31.58,24.62,36.17,2.75,1.30,3.73
2023-04-12T12:53:33+0200,37.07,30.77,42.07,2.25,0.74,3.83
2023-04-12T14:07:14+0200,38.56,27.83,42.81,3.84,3.73,3.98
2023-04-12T16:04:53+0200,18.80,13.45,24.39,1.88,1.04,3.46
2023-04-12T19:48:00+0200,26.69,17.06,31.89,1.12,0.62,2.18
2023-04-13T09:22:45+0200,35.23,27.52,39.09,3.79,3.55,3.95
2023-04-13T10:30:01+0200,41.03,39.89,42.14,3.48,2.91,3.79
2023-04-14T08:45:44+0200,40.66,38.84,43.28,3.24,1.60,3.90
2023-04-20T09:38:28+0200,35.91,26.23,41.96,2.10,0.34,3.45
2023-05-17T01:09:58+0200,18.24,16.30,21.16,2.79,1.09,3.77
2023-05-17T09:42:19+0200,28.55,22.28,34.85,2.97,1.89,3.60
